,1e_EMPTY WELL_1,1e_E521_1,1e_E522_1,1e_E523_1,1e_CONTROL_1,1e_E524_1,1e_E525_1,1e_E526_1,1e_EMPTY WELL_2,1e_E521_2,1e_E522_2,1e_E523_2,1e_CONTROL_2,1e_E524_2,1e_E525_2,1e_E526_2,2e_EMPTY WEL_1,2e_E548_1,2e_E549_1,2e_E550_1,2e_CONTROL_1,2e_E551_1,2e_E552_1,2e_E553_1,2e_EMPTY WEL_2,2e_E548_2,2e_E549_2,2e_E550_2,2e_CONTROL_2,2e_E551_2,2e_E552_2,2e_E553_2,3e_EMPTY WELL_1,3e_E528_1,3e_E530_1,3e_E531_1,3e_CONTROL_1,3e_E533_1,3e_E534_1,3e_E535_1,3e_EMPTY WELL_2,3e_E528_2,3e_E530_2,3e_E531_2,3e_CONTROL_2,3e_E533_2,3e_E534_2,3e_E535_2,4e_EMPTY WELL_1,4e_E579_1,4e_E581_1,4e_E582_1,4e_CONTROL_1,4e_E585_1,4e_E586_1,4e_E587_1,4e_EMPTY WELL_2,4e_E579_2,4e_E581_2,4e_E582_2,4e_CONTROL_2,4e_E585_2,4e_E586_2,4e_E587_2,5e_EMPTY WELL_1,5e_E554_1,5e_E555_1,5e_E558_1,5e_CONTROL_1,5e_E559_1,5e_E560_1,5e_E561_1,5e_EMPTY WELL_2,5e_E554_2,5e_E555_2,5e_E558_2,5e_CONTROL_2,5e_E559_2,5e_E560_2,5e_E561_2,6e_EMPTY WELL_1,6e_E563_1,6e_E570_1,6e_E573_1,6e_CONTROL_1,6e_E576_1,6e_E577_1,6e_E578_1,6e_EMPTY WELL_2,6e_E563_2,6e_E570_2,6e_E573_2,6e_CONTROL_2,6e_E576_2,6e_E577_2,6e_E578_2,7e_EMPTY WELL_1,7e_E537_1,7e_E538_1,7e_E542_1,7e_CONTROL_1,7e_E543_1,7e_E545_1,7e_E546_1,7e_EMPTY WELL_2,7e_E537_2,7e_E538_2,7e_E542_2,7e_CONTROL_2,7e_E543_2,7e_E545_2,7e_E546_2,8e_CONTROL_1,8e_E482_1,8e_E484_1,8e_E485_1,8e_CONTROL_2,8e_E482_2,8e_E484_2,8e_E485_2,9e_EMPTY WELL_1,9e_E510_1,9e_E513_1,9e_E515_1,9e_CONTROL_1,9e_E517_1,9e_E518_1,9e_E520_1,9e_EMPTY WELL_2,9e_E510_2,9e_E513_2,9e_E515_2,9e_CONTROL_2,9e_E517_2,9e_E518_2,9e_E520_2,10e_EMPTY WELL_1,10e_E454_1,10e_E456_1,10e_E461_1,10e_CONTROL_1,10e_E487_1,10e_E489_1,10e_E493_1,10e_EMPTY WELL_2,10e_E454_2,10e_E456_2,10e_E461_2,10e_CONTROL_2,10e_E487_2,10e_E489_2,10e_E493_2,11e_EMPTY WELL_1,11e_E498_1,11e_E503_1,11e_E504_1,11e_CONTROL_1,11e_E506_1,11e_E507_1,11e_E509_1,11e_EMPTY WELL_2,11e_E498_2,11e_E503_2,11e_E504_2,11e_CONTROL_2,11e_E506_2,11e_E507_2,11e_E509_2,12e_EMPTY WELL_1,12e_E588_1,12e_E590_1,12e_E591_1,12e_CONTROL_1,12e_E592_1,12e_E593_1,12e_E594_1,12e_EMPTY WELL_2,12e_E588_2,12e_E590_2,12e_E591_2,12e_CONTROL_2,12e_E592_2,12e_E593_2,12e_E594_2,13e_EMPTY WELL_1,13e_E612_1,13e_E625_1,13e_E639_1,13e_CONTROL_1,13e_E641_1,13e_E650_1,13e_E655_1,13e_EMPTY WELL_2,13e_E612_2,13e_E625_2,13e_E639_2,13e_CONTROL_2,13e_E641_2,13e_E650_2,13e_E655_2,freq
0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000
0 days 00:01:00,335.6,1580.1,2022.4,1571.7,1561.5,1247.5,1535.5,1551.3,337.9,1482.4,1465.9,1477.8,1627.8,1242.3,1662.0,1817.1,327.2,1755.1,1533.4,1869.9,1764.0,1911.4,1552.4,1303.4,338.9,1450.3,1352.3,1644.0,1823.4,1559.3,1395.2,1311.9,339.2,1382.9,1375.5,1302.6,1426.9,1095.0,1338.7,1162.0,342.7,1245.4,1434.6,1503.0,1444.4,1364.7,1517.5,1529.9,327.5,1526.5,1361.6,1605.9,1535.3,1392.6,1325.4,1433.5,329.9,1183.9,1128.2,1470.9,1486.4,1445.6,1479.1,1354.7,330.6,1375.9,1486.1,1374.3,1194.3,1481.2,1246.3,1439.3,339.3,1068.5,1355.9,1397.4,1363.1,1416.4,1461.5,1394.8,344.1,1502.3,1839.4,2081.0,1729.8,1722.6,1659.5,1495.8,338.2,1514.6,1569.3,1690.2,1620.3,1509.9,1675.9,1368.0,335.9,1517.2,1245.2,1538.5,1261.7,1222.7,1128.1,956.5,339.8,1329.6,1174.4,1246.3,1486.3,1128.8,1209.7,1148.1,1622.1,1235.9,1477.8,1471.6,1854.3,1183.2,1265.7,935.2,309.2,2010.5,2039.7,2043.5,2537.2,1860.3,2077.0,2230.6,318.8,1930.7,1959.1,2098.1,2550.5,2021.4,2132.2,2403.2,337.1,1467.6,1342.5,1755.1,1738.1,1392.8,1729.5,1515.9,340.9,1117.9,1337.7,1534.8,1692.9,1217.5,1509.2,1340.2,329.5,2394.1,2284.0,2458.1,2573.2,1692.5,2138.1,2451.6,335.6,2340.7,1767.0,1906.7,2647.9,2143.1,2241.7,835.6,355.1,1405.0,1271.2,644.3,1023.7,1520.5,1084.6,1357.0,338.8,1064.5,1046.6,1007.3,1014.0,1214.4,935.6,1177.9,338.0,990.1,1167.4,937.4,1328.6,1239.5,1048.4,911.9,349.5,1020.1,1077.0,996.1,1684.6,1504.5,1327.4,1190.9,4000
0 days 00:02:00,334.6,1614.8,2060.7,1654.7,1586.5,1323.4,1721.8,1601.3,336.1,1597.2,1556.4,1484.6,1531.8,1234.3,1636.9,1668.8,326.0,1817.5,1664.8,2009.0,1820.3,1979.7,1684.9,1397.6,337.4,1590.8,1434.8,1741.0,1857.5,1599.5,1447.5,1219.9,338.0,1454.6,1472.7,1315.2,1442.1,1150.6,1397.7,1176.2,340.6,1258.1,1461.6,1441.8,1331.4,1283.9,1467.9,1340.0,326.3,1600.3,1442.0,1680.2,1579.3,1484.5,1394.5,1504.8,328.0,1260.4,1150.4,1534.1,1491.4,1524.7,1499.4,1372.6,330.2,1481.0,1538.6,1458.4,1209.5,1570.2,1276.8,1539.8,337.0,1120.8,1347.8,1367.6,1279.3,1422.4,1414.1,1284.5,343.4,1605.6,1922.6,2132.3,1811.9,1817.8,1751.7,1609.3,336.4,1582.5,1612.7,1692.5,1568.3,1557.5,1645.7,1320.8,335.0,1634.7,1313.8,1687.3,1274.5,1382.5,1280.8,1079.1,337.8,1461.5,1324.9,1410.6,1434.4,1233.3,1242.7,1161.0,1689.1,1291.9,1522.6,1439.2,1912.9,1257.0,1335.8,981.1,310.2,2002.1,2015.7,1996.1,2569.2,1838.5,2074.3,2208.6,319.3,1913.3,1927.2,2064.1,2564.1,1997.1,2101.8,2381.9,336.4,1480.2,1363.5,1757.2,1747.1,1426.8,1750.1,1595.4,340.2,1149.5,1405.6,1594.2,1703.5,1270.0,1595.2,1417.4,328.6,2375.7,2306.6,2419.0,2582.6,1678.2,2163.6,2469.6,332.3,2372.0,1864.8,1932.5,2665.2,2241.8,2307.1,818.7,354.3,1466.7,1298.8,637.2,1024.9,1600.2,1120.2,1386.5,337.9,1077.5,1007.3,975.4,964.8,1229.3,884.8,1106.4,336.8,1112.6,1237.2,970.5,1345.1,1339.8,1114.6,915.3,346.8,1067.4,1052.5,865.0,1469.4,1259.6,1141.7,955.5,4000
0 days 00:03:00,334.1,1651.4,2058.9,1714.7,1607.4,1377.5,1859.5,1696.1,335.0,1719.9,1694.3,1612.6,1542.4,1327.3,1772.9,1666.3,325.7,1857.6,1755.3,2111.0,1881.3,2001.1,1765.3,1527.6,336.4,1703.1,1641.1,1955.4,1918.9,1705.4,1581.5,1289.0,336.6,1515.6,1554.3,1346.9,1512.3,1221.1,1460.5,1216.2,339.8,1322.3,1590.5,1482.1,1315.3,1354.2,1556.6,1295.6,325.4,1666.2,1524.5,1743.2,1655.4,1577.8,1465.3,1581.7,327.4,1341.3,1205.7,1613.0,1557.8,1697.2,1599.2,1493.6,329.5,1576.3,1609.2,1544.3,1259.0,1642.7,1349.7,1645.8,336.1,1236.3,1389.8,1485.8,1269.0,1494.9,1456.9,1352.3,342.7,1653.3,1964.9,2168.1,1872.5,1861.4,1827.6,1703.3,334.9,1692.1,1681.5,1797.2,1617.9,1705.5,1752.3,1447.8,333.8,1734.7,1407.2,1822.9,1327.3,1569.0,1462.4,1277.9,337.1,1590.8,1485.6,1629.7,1473.5,1397.2,1412.9,1346.3,1738.4,1323.0,1543.1,1414.8,1944.7,1311.6,1404.6,1063.8,309.3,2020.8,2005.6,1982.1,2590.0,1837.9,2079.2,2202.7,318.5,1936.1,1916.1,2081.9,2588.1,1962.1,2086.9,2393.3,335.9,1490.2,1379.3,1771.6,1739.9,1440.7,1768.9,1679.4,339.9,1176.7,1454.6,1650.6,1742.2,1335.5,1674.5,1549.3,328.1,2357.7,2326.7,2413.7,2576.9,1668.0,2199.0,2488.9,329.4,2400.2,1994.9,1972.5,2684.1,2314.8,2378.3,801.1,353.4,1531.0,1349.2,632.9,1039.7,1678.6,1167.0,1433.8,336.9,1121.5,1014.9,970.9,964.3,1289.5,884.0,1103.3,336.0,1238.9,1293.7,1040.4,1424.5,1472.7,1219.1,976.3,345.6,1197.3,1111.6,860.2,1439.9,1264.3,1113.0,901.7,4000
0 days 00:04:00,333.3,1649.6,2049.7,1753.1,1613.6,1442.7,1957.0,1766.9,334.5,1805.5,1775.7,1726.7,1585.8,1441.8,1899.5,1758.1,325.5,1878.9,1829.8,2172.0,1902.5,1993.5,1817.5,1672.6,335.9,1766.0,1793.9,2081.5,1966.7,1778.4,1708.3,1411.0,336.0,1542.3,1605.1,1381.6,1622.7,1287.3,1508.4,1290.1,339.5,1412.9,1697.9,1544.2,1350.6,1457.2,1664.4,1352.4,325.0,1703.5,1569.9,1782.7,1700.0,1658.2,1532.0,1649.1,327.0,1423.8,1277.6,1708.1,1632.0,1827.6,1677.7,1600.0,328.7,1641.7,1676.9,1592.5,1314.0,1701.9,1431.3,1755.5,335.8,1364.1,1465.6,1637.2,1285.3,1579.4,1539.9,1452.9,342.3,1715.2,1994.4,2195.2,1912.5,1870.1,1882.7,1782.8,334.0,1769.2,1739.9,1901.4,1698.7,1829.1,1839.4,1602.1,333.5,1774.1,1469.2,1910.4,1367.3,1690.6,1616.7,1508.6,336.9,1708.6,1607.4,1802.2,1551.7,1545.3,1572.0,1515.0,1747.5,1337.9,1545.6,1408.7,1952.7,1346.4,1443.5,1143.6,308.9,2039.7,2007.8,1964.3,2615.4,1849.1,2080.8,2202.9,318.1,1955.7,1927.7,2076.5,2602.2,1963.7,2078.8,2415.9,335.1,1497.6,1395.6,1778.3,1740.2,1447.3,1770.7,1741.4,339.5,1206.9,1482.1,1695.0,1772.3,1368.6,1726.7,1649.7,327.8,2346.3,2336.3,2429.8,2568.3,1667.8,2221.1,2524.0,328.3,2415.9,2109.5,2006.0,2694.6,2343.7,2422.0,790.0,352.4,1579.8,1402.2,630.5,1077.5,1727.3,1210.2,1489.3,335.8,1187.4,1054.8,989.1,991.0,1366.2,912.5,1135.9,335.5,1304.0,1325.1,1124.5,1505.2,1568.6,1322.4,1094.7,345.0,1357.5,1248.6,931.8,1495.5,1400.0,1196.7,957.6,4000
0 days 00:05:00,332.7,1624.8,2051.4,1763.8,1622.9,1467.2,2007.8,1812.0,334.2,1836.7,1826.7,1821.4,1617.7,1518.4,2040.1,1853.8,325.1,1858.5,1829.8,2184.1,1901.9,1990.2,1841.6,1753.9,335.6,1802.4,1907.9,2147.7,1980.2,1791.1,1777.6,1557.6,335.7,1560.2,1623.9,1397.7,1685.2,1330.4,1527.0,1367.2,339.2,1466.3,1739.7,1597.1,1395.7,1542.9,1737.6,1430.1,324.8,1711.6,1599.6,1798.3,1725.6,1700.9,1572.4,1702.2,326.7,1468.3,1325.4,1751.7,1686.4,1919.0,1747.1,1683.6,327.8,1686.8,1729.7,1618.0,1374.4,1755.1,1479.9,1820.5,335.5,1447.6,1539.5,1755.5,1327.4,1672.0,1635.3,1610.6,341.9,1760.4,1988.9,2196.7,1923.1,1885.3,1913.3,1829.3,333.5,1839.2,1792.0,1999.4,1786.1,1919.8,1884.0,1743.6,333.0,1799.3,1501.8,1973.6,1431.7,1759.8,1719.2,1640.0,336.9,1759.1,1687.5,1867.1,1617.0,1652.2,1676.9,1661.6,1759.2,1356.2,1551.8,1411.9,1934.1,1367.3,1482.9,1205.9,308.5,2048.8,2007.1,1948.6,2617.8,1846.4,2086.7,2201.4,317.9,1969.7,1915.3,2054.1,2608.7,1971.2,2092.7,2442.2,334.1,1490.1,1390.8,1754.2,1737.9,1428.9,1763.7,1788.4,339.1,1244.2,1501.0,1711.8,1802.6,1395.0,1756.9,1757.5,327.4,2326.7,2330.8,2426.7,2559.2,1663.0,2224.1,2536.4,328.2,2414.8,2195.9,2025.5,2694.1,2362.1,2445.3,780.9,351.4,1616.7,1450.5,628.9,1117.3,1761.8,1257.7,1532.6,335.1,1252.5,1113.1,1011.3,1026.8,1453.1,951.3,1192.1,334.8,1355.0,1372.3,1226.4,1590.1,1624.6,1388.8,1192.1,344.6,1448.1,1367.4,1037.2,1592.2,1602.5,1323.2,1111.9,4000
0 days 00:06:00,331.9,1614.0,2038.6,1762.7,1669.0,1480.1,2038.2,1853.4,333.8,1856.4,1832.1,1840.8,1631.0,1559.5,2127.4,1923.4,324.9,1839.5,1821.6,2180.5,1910.4,1955.7,1844.3,1778.4,335.3,1802.6,1951.0,2159.2,1968.1,1778.1,1796.7,1663.3,335.2,1571.7,1618.8,1412.3,1729.6,1356.4,1527.3,1426.2,338.7,1509.0,1747.8,1656.0,1451.5,1579.8,1773.3,1519.9,324.4,1719.5,1618.9,1820.0,1754.7,1730.7,1609.4,1744.4,326.6,1479.2,1355.5,1779.0,1732.9,1961.5,1799.8,1724.2,327.3,1719.2,1765.5,1644.0,1421.1,1784.0,1527.4,1879.7,335.4,1512.9,1610.2,1843.0,1390.1,1729.9,1674.0,1718.6,341.1,1783.8,1982.5,2189.8,1939.8,1869.7,1928.2,1852.6,333.0,1862.4,1814.8,2079.0,1832.4,1952.7,1891.1,1838.0,332.7,1803.2,1545.4,1993.0,1482.5,1789.6,1765.4,1745.3,336.8,1788.0,1759.4,1876.9,1687.1,1700.2,1730.4,1719.6,1753.4,1353.6,1547.9,1404.7,1921.9,1377.5,1493.9,1254.8,308.4,2046.0,2006.7,1939.0,2610.7,1841.7,2082.9,2188.1,317.7,1969.1,1898.5,2049.1,2597.8,1966.1,2100.9,2446.3,333.2,1494.7,1394.1,1755.5,1713.6,1408.7,1733.4,1803.0,339.0,1281.9,1504.6,1718.7,1799.9,1411.3,1781.9,1814.8,327.1,2312.5,2308.6,2416.0,2556.6,1656.4,2207.6,2525.7,327.8,2392.7,2228.7,2026.6,2676.5,2364.4,2455.0,775.5,350.8,1649.1,1477.8,629.0,1148.5,1770.3,1292.0,1572.5,334.6,1317.8,1181.6,1040.8,1081.8,1535.0,1010.0,1255.0,334.3,1385.9,1400.7,1293.0,1650.3,1674.5,1446.2,1290.2,344.2,1540.2,1459.8,1185.0,1666.1,1722.8,1431.2,1290.4,4000
0 days 00:07:00,331.4,1603.0,2013.0,1744.9,1676.2,1460.2,2068.0,1881.5,333.5,1852.5,1842.8,1850.4,1658.5,1605.4,2179.1,1983.9,324.5,1815.0,1808.4,2176.4,1903.9,1941.4,1839.2,1774.9,335.1,1781.2,1949.6,2142.8,1950.2,1748.3,1819.2,1728.6,334.7,1572.5,1608.2,1423.9,1742.0,1368.5,1526.3,1457.0,338.4,1522.1,1745.5,1705.2,1504.5,1608.1,1785.7,1616.9,324.3,1703.7,1631.7,1814.4,1761.1,1760.7,1643.5,1764.8,326.3,1474.2,1368.8,1791.9,1753.3,1975.0,1844.8,1744.5,327.0,1742.9,1795.6,1666.9,1466.1,1829.4,1551.7,1909.9,335.2,1545.0,1658.3,1887.3,1428.0,1791.0,1721.2,1813.7,340.9,1789.2,1980.6,2188.6,1937.6,1843.6,1940.6,1864.1,332.8,1890.5,1828.3,2118.3,1871.2,1954.6,1899.4,1900.8,332.4,1800.2,1578.2,1988.3,1535.2,1817.3,1780.6,1793.3,336.5,1787.5,1792.9,1869.8,1737.9,1718.8,1771.7,1752.9,1740.1,1333.3,1543.6,1396.4,1913.9,1375.5,1497.5,1273.0,308.1,2039.5,2009.5,1940.7,2601.0,1842.5,2063.2,2173.3,317.5,1976.3,1895.9,2037.6,2586.8,1956.0,2109.4,2412.8,332.2,1498.0,1388.6,1734.7,1731.4,1386.4,1709.1,1811.0,338.5,1298.9,1508.6,1726.8,1795.4,1407.7,1786.1,1845.3,326.7,2289.7,2287.2,2401.0,2550.1,1649.2,2195.0,2525.8,327.4,2374.1,2241.4,2012.5,2661.3,2350.4,2450.8,771.0,349.8,1667.1,1513.6,630.3,1179.5,1761.0,1328.3,1608.7,334.3,1368.7,1239.9,1068.5,1138.4,1596.7,1064.2,1326.5,333.6,1417.6,1412.5,1350.4,1691.7,1700.1,1476.3,1344.0,343.9,1589.3,1524.9,1306.8,1696.3,1807.0,1514.8,1455.3,4000
0 days 00:08:00,330.8,1594.4,1961.9,1726.4,1695.7,1454.5,2100.4,1904.5,333.1,1857.6,1830.0,1858.2,1664.8,1618.3,2214.1,2024.7,324.2,1775.4,1804.8,2183.1,1928.0,1962.9,1805.7,1767.6,334.9,1751.7,1942.9,2090.1,1947.8,1740.7,1816.3,1726.5,334.1,1570.3,1593.1,1435.5,1754.1,1383.9,1527.8,1476.3,338.1,1518.6,1740.0,1721.5,1535.2,1612.6,1793.4,1680.9,324.0,1698.1,1640.6,1805.7,1772.9,1758.9,1655.1,1773.2,326.0,1464.4,1382.8,1783.7,1765.5,1970.1,1860.9,1750.5,326.4,1752.2,1816.4,1697.5,1486.4,1844.4,1570.8,1928.4,334.9,1565.1,1689.0,1907.8,1473.8,1835.5,1755.8,1871.1,340.4,1765.9,1991.6,2182.7,1938.3,1838.3,1919.2,1876.0,332.4,1899.6,1834.6,2141.2,1886.5,1951.5,1895.6,1962.3,332.0,1804.3,1598.0,1988.3,1567.1,1830.2,1789.8,1821.9,336.4,1790.2,1823.7,1859.0,1762.0,1735.3,1778.6,1741.6,1721.5,1319.3,1537.9,1384.0,1890.5,1363.2,1486.0,1272.8,307.9,2032.4,2002.6,1930.1,2603.9,1853.2,2042.4,2179.6,317.4,1978.8,1898.8,2016.3,2572.1,1961.0,2099.2,2387.6,331.6,1494.2,1395.9,1729.6,1718.3,1368.4,1681.3,1817.0,338.3,1307.0,1497.6,1720.9,1795.3,1397.2,1772.9,1851.4,326.0,2293.9,2259.8,2391.1,2540.4,1645.5,2174.0,2532.5,327.0,2358.4,2223.8,2001.6,2637.7,2328.4,2439.7,767.3,348.8,1664.3,1530.8,631.8,1204.5,1743.3,1342.8,1623.6,333.9,1417.6,1294.4,1096.0,1195.8,1622.3,1127.9,1373.6,333.1,1425.3,1395.6,1379.5,1696.1,1700.3,1493.8,1373.2,343.6,1626.9,1565.3,1410.9,1728.9,1829.2,1570.6,1545.6,4000
0 days 00:09:00,330.6,1558.0,1947.8,1718.8,1683.8,1439.7,2113.1,1908.3,332.9,1823.6,1823.8,1858.1,1673.1,1608.8,2232.4,2039.2,323.9,1746.8,1767.1,2166.3,1922.4,1927.8,1780.4,1757.0,334.8,1701.3,1914.0,2049.7,1923.3,1728.4,1790.6,1718.5,333.7,1570.9,1582.0,1439.9,1751.9,1384.3,1524.6,1496.6,337.9,1514.0,1738.3,1740.8,1566.2,1617.6,1798.5,1734.4,323.8,1682.2,1621.3,1802.7,1755.1,1742.0,1643.1,1772.5,325.9,1446.9,1375.6,1777.5,1761.9,1965.7,1842.0,1739.1,325.7,1771.5,1840.5,1737.2,1529.1,1863.8,1576.8,1943.8,334.7,1585.2,1688.9,1932.4,1495.3,1861.4,1770.5,1900.0,340.0,1753.1,1999.5,2164.9,1935.4,1825.8,1908.8,1859.7,332.1,1872.0,1840.2,2162.8,1896.6,1959.3,1880.7,1996.4,331.2,1799.2,1613.4,1995.5,1590.1,1826.0,1799.5,1849.1,336.4,1791.2,1857.8,1851.9,1782.8,1742.9,1788.7,1729.5,1721.1,1302.7,1532.0,1377.2,1864.4,1340.1,1470.4,1266.1,307.6,2029.3,1970.6,1942.3,2604.5,1845.5,2039.3,2163.9,317.3,1984.3,1887.5,2024.5,2569.3,1968.0,2086.8,2383.5,331.1,1483.8,1401.0,1729.6,1713.2,1357.1,1652.9,1817.7,338.0,1307.9,1486.0,1682.5,1790.2,1389.1,1762.8,1856.7,324.7,2295.8,2242.1,2386.8,2543.9,1648.1,2161.6,2523.4,326.8,2345.7,2209.7,1992.0,2611.6,2305.1,2418.9,763.6,348.0,1667.7,1535.5,634.5,1225.5,1703.9,1360.2,1622.9,333.4,1431.6,1333.6,1109.9,1233.0,1647.6,1175.8,1422.1,332.7,1408.5,1403.9,1418.0,1706.2,1697.9,1494.2,1368.6,343.3,1656.5,1578.7,1475.3,1736.6,1809.0,1628.8,1597.1,4000
0 days 00:10:00,330.1,1530.3,1902.0,1695.1,1680.0,1401.1,2084.0,1896.3,332.3,1803.0,1792.6,1856.7,1676.5,1603.2,2224.7,2032.0,323.4,1731.0,1762.4,2135.0,1917.2,1895.4,1735.8,1771.1,334.5,1682.9,1899.8,2014.7,1913.6,1718.8,1747.3,1699.1,333.2,1556.1,1564.3,1441.3,1731.6,1380.7,1528.1,1490.4,337.4,1515.4,1713.9,1745.6,1583.2,1628.2,1793.1,1750.6,323.6,1656.6,1609.0,1778.4,1741.6,1722.6,1623.9,1758.1,325.5,1426.7,1367.7,1762.2,1740.5,1948.2,1788.2,1711.4,325.0,1780.4,1845.9,1751.1,1559.8,1856.3,1561.6,1948.1,334.4,1600.8,1673.9,1946.4,1499.5,1880.0,1770.2,1896.8,339.6,1743.6,2003.0,2141.8,1937.1,1816.0,1884.7,1861.2,331.7,1844.1,1843.1,2184.4,1901.7,1967.3,1868.9,2000.3,330.5,1806.6,1605.3,2002.2,1593.3,1844.4,1810.4,1855.1,336.1,1784.4,1854.8,1844.2,1788.1,1733.5,1782.4,1710.5,1709.5,1279.5,1514.4,1359.8,1833.4,1320.3,1443.3,1249.3,307.3,2031.5,1972.5,1942.9,2598.9,1847.7,2033.0,2157.7,316.9,1979.2,1884.5,2019.1,2568.1,1962.5,2082.9,2377.0,330.8,1486.4,1410.3,1734.7,1717.2,1344.1,1639.7,1794.2,337.7,1301.8,1484.3,1666.6,1794.0,1380.3,1754.8,1833.2,324.3,2299.8,2236.4,2390.9,2551.8,1651.6,2147.3,2505.3,326.8,2333.6,2190.1,1984.1,2590.4,2270.1,2398.9,761.2,347.3,1665.9,1536.8,636.8,1233.2,1666.4,1363.0,1617.0,332.7,1442.8,1369.9,1130.2,1261.7,1639.3,1215.6,1444.5,332.3,1387.2,1393.2,1426.3,1705.5,1663.9,1497.2,1377.5,342.8,1643.4,1561.7,1517.0,1746.3,1787.8,1655.2,1620.8,4000
0 days 00:11:00,329.9,1556.1,1882.9,1683.4,1686.7,1367.4,2083.1,1892.7,332.1,1768.2,1749.6,1827.9,1680.8,1583.9,2214.7,2016.9,323.0,1720.4,1747.2,2124.4,1899.7,1876.0,1718.3,1771.7,334.0,1638.2,1866.0,1986.5,1888.0,1732.8,1714.8,1677.1,332.5,1549.3,1559.0,1448.0,1737.1,1380.7,1533.1,1496.0,337.0,1510.2,1697.6,1765.2,1585.0,1624.0,1778.0,1758.1,323.4,1618.7,1579.5,1747.6,1727.9,1714.8,1595.3,1741.1,325.2,1411.2,1355.5,1741.2,1727.7,1901.3,1773.9,1698.0,324.2,1800.0,1850.1,1754.8,1587.4,1831.3,1546.9,1944.0,334.2,1602.9,1662.9,1947.3,1512.6,1894.7,1748.5,1903.5,338.9,1742.0,1965.5,2116.9,1941.6,1785.7,1855.7,1862.9,331.5,1836.5,1832.5,2190.3,1885.2,1962.7,1855.2,1970.5,330.0,1798.8,1595.2,2001.9,1610.7,1843.0,1811.1,1859.5,335.9,1790.5,1846.0,1836.8,1773.8,1742.1,1793.2,1697.0,1701.4,1257.3,1499.3,1342.7,1828.1,1296.6,1420.5,1235.5,307.0,2037.8,1976.1,1958.2,2592.7,1856.9,2025.3,2150.4,316.9,1972.1,1879.4,2019.0,2560.4,1957.2,2062.7,2376.0,330.5,1467.5,1414.3,1738.0,1733.4,1344.5,1653.8,1775.4,337.3,1292.9,1475.1,1658.7,1782.7,1372.4,1743.3,1816.0,323.7,2300.3,2239.9,2381.6,2560.8,1650.4,2145.8,2498.2,326.6,2332.0,2184.9,1977.5,2575.7,2241.9,2379.1,759.1,346.5,1653.1,1554.0,637.9,1236.9,1640.9,1374.6,1604.2,332.1,1456.7,1398.6,1145.4,1271.5,1636.4,1234.7,1452.3,331.8,1373.3,1386.8,1442.5,1698.0,1628.8,1495.0,1387.4,342.6,1634.4,1549.4,1529.2,1746.3,1789.7,1675.8,1614.4,4000
